pl,po,st,mt
1,1,0.001241445541381836,0.8463563919067383
1,3,0.001255035400390625,0.8085837364196777
1,5,0.0012683868408203125,0.8054695129394531
1,7,0.001277923583984375,0.8138017654418945
1,9,0.0012867450714111328,0.8085813522338867
1,11,0.0012578964233398438,0.8121640682220459
1,13,0.0012869834899902344,0.806372880935669
1,15,0.0012726783752441406,0.8164401054382324
1,17,0.001268148422241211,0.8121654987335205
1,19,0.0012934207916259766,0.8158657550811768
1,21,0.0012669563293457031,0.798715353012085
1,23,0.00125885009765625,0.8028383255004883
1,25,0.0012743473052978516,0.8061685562133789
1,27,0.0012919902801513672,0.8104932308197021
1,29,0.0012645721435546875,0.80415940284729
1,31,0.0012772083282470703,0.7997679710388184
1,33,0.0012505054473876953,0.80796217918396
1,35,0.0012574195861816406,0.8115501403808594
1,37,0.001283407211303711,0.8051748275756836
1,39,0.0012786388397216797,0.8105511665344238
1,41,0.001302957534790039,0.8171043395996094
1,43,0.0012826919555664062,0.8008890151977539
1,45,0.0012674331665039062,0.8039398193359375
1,47,0.0012516975402832031,0.8047852516174316
1,49,0.0012879371643066406,0.8135867118835449
1,51,0.0012745857238769531,0.8060557842254639
1,53,0.001270294189453125,0.8012499809265137
1,55,0.0012469291687011719,0.8153486251831055
1,57,0.0012836456298828125,0.8135561943054199
1,59,0.0012636184692382812,0.8095688819885254
1,61,0.0012803077697753906,0.806058406829834
1,63,0.0012469291687011719,0.8014860153198242
1,65,0.001283407211303711,0.8014659881591797
1,67,0.0012581348419189453,0.8027694225311279
1,69,0.0012524127960205078,0.8030154705047607
1,71,0.0012586116790771484,0.8143630027770996
1,73,0.0012466907501220703,0.8034980297088623
1,75,0.0012514591217041016,0.8015580177307129
1,77,0.0012776851654052734,0.8065178394317627
1,79,0.0012583732604980469,0.8094911575317383
1,81,0.0012502670288085938,0.810154914855957
1,83,0.0012691020965576172,0.8034408092498779
1,85,0.001277923583984375,0.8036882877349854
1,87,0.0012912750244140625,0.8058431148529053
1,89,0.0012660026550292969,0.8113107681274414
1,91,0.0012521743774414062,0.8033242225646973
1,93,0.0012936592102050781,0.8132832050323486
1,95,0.001249074935913086,0.8078458309173584
1,97,0.001279592514038086,0.8063971996307373
1,99,0.0012624263763427734,0.8210546970367432
3,1,0.0012660026550292969,0.818580150604248
3,3,0.0012502670288085938,0.8009469509124756
3,5,0.0012545585632324219,0.8092625141143799
3,7,0.0012624263763427734,0.8115572929382324
3,9,0.0012753009796142578,0.81284499168396
3,11,0.0012750625610351562,0.8033945560455322
3,13,0.0012629032135009766,0.8103389739990234
3,15,0.0012581348419189453,0.8075904846191406
3,17,0.0012714862823486328,0.8022041320800781
3,19,0.0012500286102294922,0.8045439720153809
3,21,0.001241445541381836,0.7983016967773438
3,23,0.0012812614440917969,0.8069853782653809
3,25,0.0012521743774414062,0.8030552864074707
3,27,0.0012514591217041016,0.8044703006744385
3,29,0.0012814998626708984,0.8059518337249756
3,31,0.0012977123260498047,0.8283593654632568
3,33,0.001247406005859375,0.8095452785491943
3,35,0.0012829303741455078,0.800180196762085
3,37,0.001247406005859375,0.8037078380584717
3,39,0.0012612342834472656,0.8051738739013672
3,41,0.0012478828430175781,0.8035480976104736
3,43,0.0012764930725097656,0.805699348449707
3,45,0.0013210773468017578,0.8089704513549805
3,47,0.0012958049774169922,0.8124446868896484
3,49,0.0012664794921875,0.8118991851806641
3,51,0.001317739486694336,0.8084020614624023
3,53,0.0012683868408203125,0.809401273727417
3,55,0.0012722015380859375,0.8048899173736572
3,57,0.0012745857238769531,0.8094496726989746
3,59,0.0012514591217041016,0.8101882934570312
3,61,0.000370025634765625,0.17083334922790527
3,63,0.00038552284240722656,0.17122507095336914
1,1,0.0003712177276611328,0.178114652633667
1,3,0.00036215782165527344,0.17078042030334473
1,5,0.0003657341003417969,0.16970515251159668
1,7,0.0003771781921386719,0.17498135566711426
1,9,0.00036597251892089844,0.17616748809814453
1,11,0.000370025634765625,0.17003536224365234
1,13,0.00036597251892089844,0.17197179794311523
1,15,0.0003592967987060547,0.17052197456359863
1,17,0.00036215782165527344,0.16984987258911133
1,19,0.0003867149353027344,0.17747282981872559
1,21,0.0003733634948730469,0.17128682136535645
1,23,0.0003764629364013672,0.17744064331054688
1,25,0.0003790855407714844,0.17609715461730957
1,27,0.0003650188446044922,0.1735978126525879
1,29,0.00036072731018066406,0.17313647270202637
1,31,0.00040793418884277344,0.17416095733642578
1,33,0.0003762245178222656,0.17280244827270508
1,35,0.00035881996154785156,0.17502832412719727
1,37,0.0003821849822998047,0.17280793190002441
1,39,0.00037670135498046875,0.18254756927490234
1,41,0.0003650188446044922,0.1712033748626709
1,43,0.00034999847412109375,0.17276382446289062
1,45,0.0003788471221923828,0.1750476360321045
1,47,0.00036644935607910156,0.17445707321166992
1,49,0.00036263465881347656,0.1758406162261963
1,51,0.00041937828063964844,0.1734299659729004
1,53,0.00038886070251464844,0.17512226104736328
1,55,0.00036907196044921875,0.1726820468902588
1,57,0.00037097930908203125,0.17246794700622559
1,59,0.0003714561462402344,0.1706099510192871
1,61,0.0003788471221923828,0.17387771606445312
1,63,0.0003666877746582031,0.1728062629699707
1,65,0.0003733634948730469,0.17586183547973633
1,67,0.000370025634765625,0.17538833618164062
1,69,0.0003685951232910156,0.17220234870910645
1,71,0.00035953521728515625,0.17168879508972168
1,73,0.0003676414489746094,0.17006516456604004
1,75,0.00036215782165527344,0.17189860343933105
1,77,0.00036454200744628906,0.17199230194091797
1,79,0.00036025047302246094,0.17637205123901367
1,81,0.00035953521728515625,0.17503690719604492
1,83,0.0003643035888671875,0.17856049537658691
1,85,0.0004172325134277344,0.18157291412353516
1,87,0.0004088878631591797,0.17228102684020996
1,89,0.00036597251892089844,0.1730947494506836
1,91,0.0003609657287597656,0.17488741874694824
1,93,0.0003619194030761719,0.1710495948791504
1,95,0.0003676414489746094,0.1771230697631836
1,97,0.00036406517028808594,0.17394661903381348
1,99,0.0003695487976074219,0.17103242874145508
3,1,0.0003695487976074219,0.17140769958496094
3,3,0.0003712177276611328,0.17106842994689941
